# source: Dr. Duke's Phytochemical & Ethnobotanical Database (COMMON_NAMES.csv joined to FNFTAX.csv via FNFNUM)
# retrieved/processed: 2026-08-18
organism_id	scientific_name	duke_common_name	all_duke_common_names
Organism_9477	Montanoa tomentosa	Montanoa	Montanoa
Organism_43770	Phebalium ozothamnoides		
Organism_46453	Pteris cretica var. nervosa		
Organism_44137	Senecio vellereus		
Organism_44125	Wibelia divaricata		
Organism_43783	Artemisia oranensis		
Organism_10643	Atractylodes chinensis		
Organism_43904	Blumea mollis		
Organism_48472	Euonymus nanoides		
Organism_43765	Haplopappus venetus		
Organism_47005	Isodon nervosus		
Organism_43791	Lytanthus salicinus		
Organism_11188	Aquilegia ecalcarata		
Organism_6304	Corydalis pallida Pers.var.tenuis Yatabe.		
Organism_45458	Justicia paniculata		
Organism_17333	Senecio renardii		
Organism_46889	Sonneratia alba		
Organism_46400	Cichorium glandulosum		
Organism_5119	Garcinia cambogia	Brindleberry	Brindleberry; Malabar Tamarind; Garcinia
Organism_47351	Guettarda platypoda		
Organism_16013	Lespedeza davidii		
Organism_46915	Ajuga bracteosa	Nilkanthi	Nilkanthi
Organism_11955	Cinnamosma madagascariensis		
Organism_48321	Cleidion brevipetiolatum		
Organism_1501	Hertia cheirifolia		
Organism_4914	Schisandra arisanensis		
Organism_44191	Sphaeranthus confertifolius		
Organism_15528	Baphicacanthus cusia		
Organism_45425	Cephalaria grossheimii		
Organism_5949	Elephantopus angustifolius		
Organism_4935	Isoplexis sceptrum		
Organism_2309	Leonurus persicus		
Organism_19905	Achyrocline tomentosa		
Organism_45427	Aframomum amaniense		
Organism_48322	Arcangelisia gusanlung		
Organism_45456	Larix cajanderi		
Organism_49703	Schisandra bicolor		
Organism_48469	Stephania sutchuenensis		
Organism_45514	Croton megistocarpus		
Organism_7095	Daphne feddei		
Organism_17276	Pyrola decorata		
Organism_44199	Schizanthus tricolor		
Organism_11293	Toddalia asiatica Lamk.		
Organism_44984	Uvariopsis tripetala		
Organism_26780	Aniba megaphylla		
Organism_44440	Stephania cephalantha		
Organism_24143	Artemisia hanseniana var.phylostachus		
Organism_45692	Pycnandra acuminata		
Organism_5487	Rubia akane		
Organism_21406	Apollonias barbujana		
Organism_70	Cedrela salvadorensis		
Organism_15169	Copaifera paupera		
Organism_21490	Dipterocarpus dyeri		
Organism_47562	Teucrium oxylepis		
Organism_26366	Cimicifuga simplex	Ye sheng ma	Ye sheng ma
Organism_9717	Eriostemon spicatus		
Organism_45406	Isodon adenolomus		
Organism_48468	Jacobaea subalpina		
Organism_16928	Juniperus sabina var. tamariscifolia	Sabine	Sabine
Organism_11192	Perovskia abrotanoides		
Organism_6035	Ormosia hosiei		
Organism_43889	Panax innovans		
Organism_43880	Persea mexicana		
Organism_20272	Plumbagella micrantha		
Organism_19779	Duguetia calycina Benoist Guianese		
Organism_22881	Hedyotis lawsoniae		
Organism_53823	Helichrysum arenarium subsp. aucheri		
Organism_2478	Ixeris chinensis		
Organism_20050	Miliusa balansae		
Organism_16433	Petasites laevigatus		
Plant_Coutarea_Latifolia	Coutarea Latifolia		
