# tiers: junk (structural non-taxon markers) | possible_plant (kept for review)
organism_id	scientific_name	tier	reason
Plant_Caulis_rubi_idaei	Caulis rubi idaei	junk	pharmacognosy part-name ('caulis')
Plant_Common_Blackbird	Common Blackbird	possible_plant	
Plant_Cortex_fraxini	Cortex fraxini	junk	pharmacognosy part-name ('cortex')
Plant_Cortex_phellodendri	Cortex phellodendri	junk	pharmacognosy part-name ('cortex')
Plant_Cucurbitacea_sp.	Cucurbitacea sp.	possible_plant	
Organism_7909	Curcurbita pepo L.	possible_plant	
Plant_Damson	Damson	possible_plant	
Plant_Delea_versicolor	Delea versicolor	possible_plant	
Plant_Dendronephythya_sp.	Dendronephythya sp.	possible_plant	
Organism_51244	Endophytic fungal NRRL 50135	junk	non-plant/unknown marker ('fungal')
Plant_Family_plakiniidae	Family plakiniidae	possible_plant	
Plant_Gymnostemma_pentaphyllum	Gymnostemma pentaphyllum	possible_plant	
Plant_Herba_alternantherae	Herba alternantherae	junk	pharmacognosy part-name ('herba')
Plant_Himalayan_honeysuckle	Himalayan honeysuckle	possible_plant	
Plant_Leptospeciesaeria	Leptospeciesaeria	possible_plant	
Plant_Little_black_ant	Little black ant	possible_plant	
Plant_Marimo	Marimo	possible_plant	
Plant_Mosaic_pleurobranch	Mosaic pleurobranch	possible_plant	
Plant_Natrii_sulfas	Natrii sulfas	possible_plant	
Plant_Oleum_corticis_cinnamomi	Oleum corticis cinnamomi	junk	pharmacognosy part-name ('oleum')
Plant_Panacis_majoris	Panacis majoris	possible_plant	
Plant_Paralimyxa_miuraensis	Paralimyxa miuraensis	possible_plant	
Plant_Parazoanhus_sp.	Parazoanhus sp.	possible_plant	
Plant_Plakoris_sp.	Plakoris sp.	possible_plant	
Plant_Plerula_sp.	Plerula sp.	possible_plant	
Plant_Plumula_nelumbensis	Plumula nelumbensis	junk	pharmacognosy part-name ('plumula')
Plant_Pseudoaxinissa_digitata	Pseudoaxinissa digitata	possible_plant	
Plant_Pufferfish_takifugu	Pufferfish takifugu	possible_plant	
Plant_Ramuius_wallichii	Ramuius wallichii	possible_plant	
Plant_Sacococca_vagans	Sacococca vagans	possible_plant	
Plant_Semen_armeniacae_amarum	Semen armeniacae amarum	junk	pharmacognosy part-name ('semen')
