# source: Wikidata (P1843 taxon common name, then item label/alias); matched by P225 scientific name
# langs: en   retrieved: 2026-08-18
organism_id	scientific_name	wikidata_qid	wikidata_common_name	source_field	all_p1843
Organism_22784	Loranthus parasiticus				
Organism_3109	Murraya euchrestifolia	Q11047811			
Organism_4497	Sophora alopecuroides	Q4430055			
Organism_48931	Artemisia carvifolia	Q15226763			
Organism_23516	Cabucala madagascariensis	Q50839627			
Organism_14225	Centaurea amara	Q96141520			
Organism_46906	Macaranga sinensis	Q10915064			
Plant_Aguacate	Aguacate				
Organism_4183	Artemisia iwayomogi	Q96190037			
Organism_10301	Boenninghausenia albiflora	Q15250848			
Organism_11804	Celastrus angulatus	Q15225933			
Organism_2061	Craspidospermum verticillatum	Q15583011			
Organism_14843	Lupinus verbasciformis	Q15469764			
Organism_9477	Montanoa tomentosa	Q6904440			
Organism_43770	Phebalium ozothamnoides	Q18076759			
Organism_46453	Pteris cretica var. nervosa	Q10896226			
Organism_44137	Senecio vellereus	Q38755756			
Organism_44125	Wibelia divaricata	Q17262284			
Organism_43783	Artemisia oranensis	Q15470478			
Organism_10643	Atractylodes chinensis	Q50827481			
Organism_43904	Blumea mollis	Q11108662			
Organism_48472	Euonymus nanoides	Q10957994			
Organism_43765	Haplopappus venetus	Q85199859			
Organism_47005	Isodon nervosus	Q15332343			
Organism_43791	Lytanthus salicinus				
Organism_11188	Aquilegia ecalcarata	Q2312217			
Organism_6304	Corydalis pallida Pers.var.tenuis Yatabe.				
Organism_45458	Justicia paniculata	Q38396959			
Organism_17333	Senecio renardii	Q15602566			
Organism_46889	Sonneratia alba	Q1150684			
Organism_46400	Cichorium glandulosum				
Organism_5119	Garcinia cambogia				
Organism_47351	Guettarda platypoda				
Organism_16013	Lespedeza davidii				
Organism_46915	Ajuga bracteosa	Q10878720			
Organism_11955	Cinnamosma madagascariensis	Q17244922			
Organism_48321	Cleidion brevipetiolatum	Q11116445			
Organism_1501	Hertia cheirifolia	Q15561298			
Organism_4914	Schisandra arisanensis	Q12218767			
Organism_44191	Sphaeranthus confertifolius	Q15602378			
Organism_15528	Baphicacanthus cusia	Q15347329			
Organism_45425	Cephalaria grossheimii				
Organism_5949	Elephantopus angustifolius	Q38762514			
Organism_4935	Isoplexis sceptrum	Q10304009			
Organism_2309	Leonurus persicus	Q15338082			
Plant_asparagus	asparagus	Q28367	garden asparagus	P1843	garden asparagus; wild asparagus
Organism_19905	Achyrocline tomentosa	Q15568862			
Organism_45427	Aframomum amaniense	Q15318217			
Organism_48322	Arcangelisia gusanlung	Q10913273			
Organism_45456	Larix cajanderi	Q4263355			
Organism_49703	Schisandra bicolor	Q10880344			
Organism_48469	Stephania sutchuenensis	Q10924773			
Organism_45514	Croton megistocarpus	Q3004725			
Organism_7095	Daphne feddei	Q15248698			
Organism_17276	Pyrola decorata	Q11089892			
Organism_44199	Schizanthus tricolor	Q15539340			
Organism_11293	Toddalia asiatica Lamk.				
Organism_44984	Uvariopsis tripetala	Q5466841			
Organism_26780	Aniba megaphylla	Q4764446			
Organism_44440	Stephania cephalantha	Q10938127			
Organism_24143	Artemisia hanseniana var.phylostachus				
Organism_45692	Pycnandra acuminata	Q28820782			
Organism_5487	Rubia akane	Q21304962			
Organism_21406	Apollonias barbujana	Q807884			
Organism_70	Cedrela salvadorensis	Q15542615			
Organism_4917	Cinnamomum cassia	Q204148	Chinese cassia	alias	
Organism_15169	Copaifera paupera	Q15530111			
Organism_21490	Dipterocarpus dyeri	Q3029266			
Organism_47562	Teucrium oxylepis	Q15372434			
Plant_Alexandrian_laurel	Alexandrian laurel	Q2064758	Danae racemosa	label	
Organism_26366	Cimicifuga simplex	Q50828518			
Organism_9717	Eriostemon spicatus	Q65938002			
Organism_45406	Isodon adenolomus	Q15331144			
Organism_48468	Jacobaea subalpina	Q3805815			
Organism_16928	Juniperus sabina var. tamariscifolia				
Organism_11192	Perovskia abrotanoides	Q1411504			
Plant_Iris_Domestica	Iris Domestica	Q1190377	Leopard flower	P1843	Leopard flower
Organism_6035	Ormosia hosiei	Q2513965			
Organism_43889	Panax innovans	Q38474546			
Organism_43880	Persea mexicana	Q50850847			
Organism_20272	Plumbagella micrantha	Q11174212			
Organism_48505	Crateva nurvala	Q11140127	Barun	P1843	Barun
Organism_19779	Duguetia calycina Benoist Guianese				
Organism_22881	Hedyotis lawsoniae	Q15461999			
Organism_53823	Helichrysum arenarium subsp. aucheri	Q109801954			
Organism_2478	Ixeris chinensis	Q5710281			
Organism_20050	Miliusa balansae	Q17139682			
Organism_16433	Petasites laevigatus	Q50850685			
Organism_45344	Attalea excelsa	Q21252459	Urucuri palm	alias	
Plant_Coutarea_Latifolia	Coutarea Latifolia				
Organism_2918	Epimedium wushanense	Q5383037			
Organism_45873	Euodia officinalis	Q50840769			
Organism_15752	Fritillaria hupehensis	Q15245990			
Organism_14629	Hypericum papuanum	Q17812582			
Organism_46912	Hypoxis nyasica	Q15482526			
Organism_45345	Jacaranda chelonia	Q50843451			
Organism_45352	Payena lucida	Q15346546			
Organism_45347	Tanacetum parthenifolium	Q10885510	Tanacetum partheniifolium	label	
Organism_2277	Alstonia yunnanensis	Q11174321			
Organism_44444	Aquilaria agallochum	Q18120440			
Organism_46814	Baccharis grandicapitulata	Q15593329			
Organism_3066	Codonocarpus australis				
Organism_46920	Paranephelius uniflorus	Q15581477			
Organism_51346	cratoxylum formosum ssp. pruniflorum				
Organism_44813	Anemone narcissiflora	Q161043			
Organism_29640	Backhousia angustifolia	Q15396349			
Organism_24604	Cerbera dilatata	Q21397042	Cerbera dilatata Markgr.	label	
Organism_17808	Cipadessa baccifera	Q11148084			
Organism_12035	Gentiana olivieri	Q5533621			
Organism_3064	Magnolia kobus var. borealis				
Organism_29779	Pleogyne cunninghamii	Q65945770			
Organism_44197	Rubia tetragona				
Plant_Spiraea_Formosa	Spiraea Formosa	Q104415529			
Organism_17888	Unonopsis glaucopetala	Q15366332			
Organism_6442	Asiasarum heterotropoides	Q111511488			
Organism_48549	Benzoin praecox	Q39099369			
Organism_48503	Bystropogon origanifolius	Q5736287			
Organism_48533	Cardamine pinnata				
Organism_12650	Epimedium davidii	Q10949267			
Organism_15556	Fritillaria taipaiensis	Q10941677			
Organism_17887	Kalanchoe spathulata	Q1722036			
Organism_8508	Millettia racemosa	Q39167484			
Plant_Pleogyne_cunninghami	Pleogyne cunninghami	Q65945770	Pleogyne cunninghamii	label	
Organism_48477	Schizonepeta multifida	Q4447694			
Organism_15055	Thalictrum cultratum	Q15247674	Knife-like Meadow Rue	alias	
Organism_1985	Aristolochia heterophylla	Q55815233			
Organism_44815	Hyperbaena columbica	Q15344041			
Organism_2209	Orthosiphon stamineus	Q632860	Java tea	alias	
Organism_46609	Persicaria tinctoria	Q11833922			
Organism_15597	Piper brachystachyum				
Organism_5551	Sapium indicum	Q38926388			
Organism_6786	Schisandra rubriflora	Q12218770			
Organism_8623	Sinoadina racemosa	Q15491155			
Organism_6305	Corydalis yanhusuo	Q11065097	Yan Hu Suo	label	
Plant_Dendrobium_officinale	Dendrobium officinale				
Organism_9808	Pancratium trianthum				
Organism_48324	Tanacetum santolina				
Organism_5821	Artabotrys uncinatus				
Organism_885	Artemisia judaica	Q12198769			
Organism_18853	Delphinium giraldii	Q15228391			
Organism_46903	Echiochilon pauciflorum	Q15587139			
Organism_5120	Gnetum cleistostachyum	Q5574216			
Organism_5912	Hypericum chinense	Q49623086			
Organism_15935	Ligusticum lucidum	Q5976306			
Organism_4322	Lycopodium japonicum	Q11086518			
Organism_6905	Angelica ursina Maxim				
Organism_49218	Calea pilosa	Q15553399			
Organism_46306	Dendrobium fimbriatum	Q7990065	Fringe-Lipped Dendrobium	alias	
Organism_47681	Esenbeckia nesiotica	Q15400225			
Organism_44561	Ilex amara	Q104385627			
Organism_17357	Phaleria macrocarpa	Q4201144			
Organism_68	Piper sanctum	Q15606727			
Organism_25781	Podocarpus amarus	Q14947670			
Organism_2393	Rhododendron molle	Q7321153			
Organism_47598	Sinocalamus affinis	Q50870430			
Organism_46901	Ulva prolifera	Q16760060			
