# per-organism common-name source; precedence gbif/ncbi > wikidata > duke
organism_id	scientific_name	common_name	source
Organism_9686	Chromolaena odorata	Siam Weed	gbif
Organism_20279	Distephanus angulifolius	Trailing Bitter-tea	gbif
Organism_15561	Malus pumila	paradise apple	ncbi
Organism_19985	Origanum vulgare	Wild Marjoram	gbif
Organism_2574	Kadsura coccinea	crimson kadsura	gbif
Organism_863	Epilobium hirsutum	Great Willowherb	gbif
Organism_17355	Aquilaria sinensis	Chinese Agarwood	gbif
Organism_5679	Cornus officinalis	Asiatic dogwood	gbif
Organism_7046	Santalum album	Indian Sandalwood	gbif
Organism_2006	Petasites japonicus	Giant Butterbur	gbif
Organism_16515	Thymus quinquecostatus	Five-rib thyme	gbif
Organism_3024	Solanum melongena	Aubergine	gbif
Organism_4698	Terminalia chebula	Myrobalan	gbif
Organism_2985	Garcinia mangostana	Mangosteen	gbif
Organism_45187	Veronica polita	Grey Field-speedwell	gbif
Organism_52088	Citrus grandis var. tomentosa	buntan	ncbi
Organism_16084	Coleostephus myconis	Mediterranean Marigold	gbif
Organism_609	Helianthus annuus	Sunflower	gbif
Organism_988	Murraya exotica	Chinese box	wikidata
Organism_45891	Panax quinquefolius	American ginseng	gbif
Organism_1144	Tribulus terrestris	Puncture Vine	gbif
Organism_4294	Sedum sarmentosum	stringy stonecrop	gbif
Organism_3738	Annona glabra	Monkey Apple	gbif
Organism_2016	Cistus creticus	pink rockrose	gbif
Organism_2444	Panax japonicus	Japanese ginseng	gbif
Organism_1	Tanacetum parthenium	Common Feverfew	gbif
Organism_8487	Eurycoma longifolia	longjack	wikidata
Organism_14764	Illicium verum	Chinese star-anise	gbif
Organism_4366	Leonurus heterophyllus	Chinese motherwort	ncbi
Organism_20419	Phytolacca acinosa	American Pokeweed	gbif
Organism_7435	Astragalus membranaceus	Huang-Chi	duke
Organism_3649	Broussonetia papyrifera	Paper Mulberry	gbif
Organism_6395	Forsythia suspensa	Golden-bell	gbif
Organism_2040	Rosa rugosa	Japanese Rose	gbif
Organism_3857	Vitex agnus-castus	Chaste Tree	gbif
Organism_1257	Solanum tuberosum	Potato	gbif
Organism_29622	Bombax ceiba	Indian kapok	gbif
Organism_4965	Inula helenium	Elecampane	gbif
Organism_1773	Abrus precatorius	Jumbie Beads	gbif
Organism_44584	Actaea dahurica	Dahurian bugbane	gbif
Organism_5389	Catalpa ovata	Chinese catalpa	gbif
Organism_3862	Cichorium endivia	Endive	gbif
Plant_Psidium_friedrichsthalianum	Psidium friedrichsthalianum	Costa Rican guava	gbif
Organism_46039	Clerodendrum bungei	Rose glorybower	gbif
Organism_365	Malus domestica	Common Apple	gbif
Organism_1354	Matricaria chamomilla	Scented Mayweed	gbif
Organism_2903	Polygala tenuifolia	Chinese senega-root	gbif
Organism_7676	Heterotheca grandiflora	Telegraph Plant	gbif
Organism_4228	Ribes nigrum	Black Currant	gbif
Organism_10743	Valeriana jatamansi	Indian valerian	gbif
Organism_3654	Citrus limon	Canton lemon	gbif
Organism_2242	Magnolia obovata	Japanese Big Leaf Magnolia	gbif
