chem_id,inchikey,mw,exact_mw,logp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,ring_count,fraction_csp3,heavy_atoms,heteroatoms,formal_charge,qed,ro5_violations
Chemical_32377604450669365,SLBRIEYCJVOXHG-UHFFFAOYSA-N,268.441,268.2402,4.729,32.29,0,2,14,0,0,0.8824,19,2,0,0.2591,0
Chemical_5386085516256566767,"(S)-7,9-Dimethoxy-3-Methyl-3,4-Dihydro-1H-Benzo[G]Isochromene-5,10-Dione",288.299,288.0998,2.188,61.83,0,5,2,1,3,0.375,21,5,0,0.8345,0
Chemical_1880555527354052416,QXQSONDGTHTLKY-MKFWVJGXSA-N,514.659,514.2931,4.22,86.75,1,7,4,0,7,0.8333,37,7,0,0.3415,1
Chemical_4439034519403940978,ZQLJQHMLZSOCMZ-UHFFFAOYSA-N,230.219,230.0579,1.838,71.44,1,4,1,1,2,0.1538,17,4,0,0.747,0
Chemical_7887261493939345952,nan,407.463,407.1944,1.58,99.21,0,8,1,0,2,0.619,29,8,0,0.367,0
Chemical_6961991096228525411,NETURQQBHBZIMJ-AWEZNQCLSA-N,290.315,290.1154,2.742,79.15,3,5,5,2,2,0.25,21,5,0,0.7379,0
Chemical_7366011494759098271,OPGJIRGRIDHFPI-UHTKSRHBSA-N,382.453,382.1992,0.945,113.29,3,7,3,0,3,0.8,27,7,0,0.4918,0
Chemical_2644483414667927361,OTUCXMIQUNROBJ-MLTFBZEJSA-N,610.521,610.1534,-2.038,269.43,10,16,6,3,5,0.4444,43,16,0,0.1347,3
Chemical_1409899952580889486,nan,304.386,304.1675,4.372,66.76,2,4,7,1,1,0.3889,22,4,0,0.5795,0
Chemical_916759511265794069,nan,709.874,709.4037,0.466,206.68,7,13,6,0,7,0.9459,50,13,0,0.1876,3
Chemical_4692810629348677798,Huzhangoside D,1353.506,1352.6612,-4.081,471.74,17,30,15,0,11,0.9531,94,30,0,0.0421,3
Chemical_844070127343204054,Gypsogenin 3-O-Beta-D-Glucuronopyranosyl-28-O-Beta-D-Glucopyranoside,808.959,808.4245,1.588,249.97,8,14,7,0,7,0.881,57,15,0,0.0788,3
Chemical_6505766039409054860,"(8R, 7's, 8's)-4,4'-Bis-(Hydroxy)-6,7'-Cyclolignan",268.356,268.1463,4.058,40.46,2,2,1,2,3,0.3333,20,2,0,0.8185,0
Chemical_7466776043364834491,nan,396.659,396.3392,7.331,20.23,1,1,4,0,4,0.7857,29,1,0,0.4931,1
Chemical_759231237933209482,Eupachinilide A,378.421,378.1679,0.787,113.29,3,7,3,0,3,0.6,27,7,0,0.3779,0
Chemical_2294879261502374780,Lespecyrtin E2,472.581,472.225,6.879,57.15,1,5,2,2,6,0.4,35,5,0,0.483,1
